"Story","Title","Result","Date","Stability","Duration (s)"
"Testing API - GET","Get LIST USER","SUCCESS","2023-09-15T17:42:04.437375+07:00[Asia/Jakarta]","0.0","1.6"
"Testing API - GET","Get SINGLE USER","SUCCESS","2023-09-15T17:42:06.045508+07:00[Asia/Jakarta]","0.0","0.11"
"Testing API - GET","Get SINGLE USER NOT FOUND","SUCCESS","2023-09-15T17:42:06.158193+07:00[Asia/Jakarta]","0.0","0.47"
"Testing API - GET","Get LIST <RESOURCE>","SUCCESS","2023-09-15T17:42:06.632082+07:00[Asia/Jakarta]","0.0","0.13"
"Testing API - GET","Get SINGLE <RESOURCE>","SUCCESS","2023-09-15T17:42:06.767118+07:00[Asia/Jakarta]","0.0","0.1"
"Testing API - GET","Get SINGLE <RESOURCE> NOT FOUND","SUCCESS","2023-09-15T17:42:06.868275+07:00[Asia/Jakarta]","0.0","0.49"
"Testing API - GET","Get DELAYED RESPONSE","SUCCESS","2023-09-15T17:42:07.361164+07:00[Asia/Jakarta]","0.0","3.47"
